Concept (prefix dsao:),Intent (what it represents),Key alignments,Typical cardinalities (MUST unless noted),Tiny example (abridged triples)
DataSharingAgreement,The agreement that governs the sharing. Scope/root of an instance.,dpv:LegalAgreement,≥1 hasParty; ≥1 hasPurpose; ≥1 hasPolicy,:DSA1 a dsao:DataSharingAgreement ; dpv:hasPurpose :PurposeLending .
Party,An organisation or unit that participates.,dpv:Entity,≥1 hasRole,:Bank a dsao:Party ; dpv:hasRole dpv:DataController .
Role,The role a party plays in sharing.,dpv:DataController / dpv:Processor / dpv:Recipient,≥1 per Party,dpv:DataController
ProcessingActivity,A concrete processing step under the DSA.,dpv:Processing,≥1 hasPurpose; ≥1 hasLegalBasis,:Proc1 a dsao:ProcessingActivity ; dpv:hasPurpose :PurposeLending .
Purpose,The intended purpose(s) of processing/sharing.,dpv:Purpose,≥1 per DSA,:PurposeLending a dpv:Purpose .
PersonalDataCategory,Category of personal data shared.,dpv:PersonalDataCategory,≥1 per DSA,:PD_Financial a dpv:PersonalDataCategory .
SharedDataset,The concrete dataset/asset being exchanged.,"dcat:Dataset (optional), dct:conformsTo",≥1 conformsTo (SHOULD); ≥1 hasDuration,:DS a dsao:SharedDataset ; dct:conformsTo :Schema1 .
LegalBasis,Legal basis authorising processing.,dpv:LegalBasis,≥1 per Processing,dpv:Contract
Policy,Machine-readable allow/deny clauses for use and onward sharing.,"odrl:Policy (permission, prohibition)",≥1 permission; explicit prohibition (SHOULD),:Pol1 a odrl:Policy ; odrl:permission :PermUse .
Obligation,Duties imposed by the DSA.,odrl:Duty,≥1 (SHOULD),:Pol1 odrl:duty :DeleteAfterTerm .
TechnicalOrganisationalMeasure,Security/safeguard measures.,dpv:TechnicalOrganisationalMeasure,≥1 per Party with access,:EncAtRest a dpv:TechnicalOrganisationalMeasure .
AccessRule,"Who can access what, under which conditions.",ODRL permission/constraint (optional),≥1 actor/resource; ≥1 condition,:AR1 a dsao:AccessRule ; dsao:actor :Bank ; dsao:resource :DS .
InternationalTransfer,Cross-border data movement event/permission.,"(no direct DPV class; use dpv:Recipient, dpv:Location)",If present: all three MUST,":T1 a dsao:InternationalTransfer ; dsao:destinationCountry ""EEA"" ."
RightsHandling,How data-subject rights are fulfilled and by whom.,dpv:Right terms,≥1 right; ≥1 responsibleParty,:RH1 a dsao:RightsHandling ; dsao:forRight dpv:RightAccess .
TransparencyArrangement,Notices given to individuals.,"(use dct:source, foaf:page)",≥1 notice,:TA1 a dsao:TransparencyArrangement ; dsao:issuer :Bank .
Assessment,DPIA/TRA reference and outcome.,(no direct DPV; reuse dct:references),If high risk: MUST present,":A1 a dsao:Assessment ; dsao:assessmentOutcome ""LowRisk"" ."
DataQualityPlan,Who maintains quality and how corrections propagate.,(use prov: optional),All fields MUST,:DQP a dsao:DataQualityPlan ; dsao:responsibleParty :Bank .
GovernancePlan,"Monitoring, audit, KPIs, review cadence.",(general),All fields MUST,":Gov a dsao:GovernancePlan ; dsao:reviewFrequency ""12M"" ."
IncidentResponsePlan,Breach/incident handling playbook.,(general),All fields MUST,:IRP a dsao:IncidentResponsePlan ; dsao:contactPoint :SecTeam .
ExitPlan,Termination conditions and data disposition.,(general),All fields MUST,":Exit a dsao:ExitPlan ; dsao:dataDisposition ""Delete"" ."
Regime,"Special legal regime (e.g., law-enforcement).",(general),"If applicable, MUST",:LERegime a dsao:Regime .
Population,"Targeted data-subject group (e.g., children).",(general),"If applicable, MUST",:Children a dsao:Population .
ReviewNote,Human-in-the-loop annotation with guideline citation.,(use dct:description),≥1 per manual check (SHOULD),":RN1 a dsao:ReviewNote ; dsao:guidelineRef ""ICO-2021-§3"" ."
